epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,887.285,1.12481,1.84663,1.57771,0.84612,0.20196,0.25824,0.16923,1.84808,2.55121,2.19834,0.000554256,0.000554256,0.000554256
2,1736.04,1.00468,1.43433,1.49365,0.81451,0.23212,0.26879,0.17928,1.73747,2.19518,2.10112,0.00108795,0.00108795,0.00108795
3,2560.72,0.9657,1.37264,1.48156,0.89867,0.23142,0.3058,0.21864,1.59121,2.10083,1.99708,0.00159963,0.00159963,0.00159963
4,3390.1,0.90071,1.27011,1.43146,0.86979,0.23633,0.28021,0.21123,1.55215,2.00539,1.94251,0.00156798,0.00156798,0.00156798
5,4208.38,0.88508,1.24501,1.41971,0.87995,0.25747,0.32834,0.24227,1.46629,1.88857,1.85089,0.00153497,0.00153497,0.00153497
6,5025.65,0.82838,1.15412,1.37669,0.40206,0.3185,0.34279,0.2581,1.39011,1.7504,1.78362,0.00150197,0.00150197,0.00150197
7,5838.84,0.81334,1.13739,1.36763,0.65954,0.30745,0.35321,0.26592,1.38033,1.73864,1.76419,0.00146896,0.00146896,0.00146896
8,6662.29,0.80278,1.13773,1.36275,0.42666,0.28876,0.34591,0.26217,1.37595,2.00061,1.74546,0.00143595,0.00143595,0.00143595
9,7478.37,0.76082,1.05949,1.32727,0.87998,0.331,0.37882,0.28467,1.31566,1.58306,1.6901,0.00140295,0.00140295,0.00140295
10,8294.17,0.74266,1.04841,1.32045,0.90513,0.31907,0.37151,0.27291,1.36808,1.68986,1.77684,0.00136994,0.00136994,0.00136994
11,9110.86,0.72672,1.031,1.30708,0.87804,0.32258,0.38131,0.28626,1.30504,1.62202,1.70049,0.00133693,0.00133693,0.00133693
12,9925.1,0.74805,1.04818,1.31833,0.49273,0.34906,0.37498,0.29001,1.28676,1.63076,1.64614,0.00130393,0.00130393,0.00130393
13,10744.3,0.71857,1.01611,1.29669,0.89359,0.3359,0.39072,0.29608,1.25102,1.57289,1.63387,0.00127092,0.00127092,0.00127092
14,11560.8,0.69197,0.9841,1.28326,0.49289,0.3739,0.3894,0.30072,1.25366,1.52926,1.63246,0.00123791,0.00123791,0.00123791
15,12377,0.70408,0.98498,1.29094,0.61768,0.35815,0.40058,0.30555,1.21975,1.491,1.60269,0.00120491,0.00120491,0.00120491
16,13192,0.68322,0.9521,1.2771,0.44133,0.37834,0.38999,0.30496,1.25546,1.53741,1.65468,0.0011719,0.0011719,0.0011719
17,14008.8,0.68285,0.94906,1.27302,0.56,0.38055,0.40905,0.3177,1.19475,1.46218,1.57431,0.00113889,0.00113889,0.00113889
18,14824.5,0.67122,0.93474,1.26402,0.41181,0.34572,0.40263,0.31423,1.20514,1.48201,1.59211,0.00110589,0.00110589,0.00110589
19,15668.8,0.65067,0.90756,1.25337,0.57322,0.38968,0.42988,0.33231,1.18098,1.44576,1.59137,0.00107288,0.00107288,0.00107288
20,16489.1,0.66161,0.90756,1.25841,0.50657,0.40634,0.41948,0.33087,1.18833,1.46191,1.57803,0.00103987,0.00103987,0.00103987
21,17307.9,0.6502,0.9004,1.24837,0.50038,0.40056,0.41831,0.32882,1.15089,1.45314,1.55034,0.00100687,0.00100687,0.00100687
22,18123.3,0.66494,0.91043,1.2592,0.51012,0.4192,0.42856,0.33281,1.18175,1.43683,1.56706,0.000973861,0.000973861,0.000973861
23,18937.7,0.63702,0.88041,1.24488,0.54921,0.40404,0.43451,0.33874,1.14188,1.40154,1.5347,0.000940855,0.000940855,0.000940855
24,19754.2,0.63004,0.86285,1.22944,0.50446,0.41513,0.43315,0.3384,1.1556,1.41183,1.54219,0.000907848,0.000907848,0.000907848
25,20568.6,0.61497,0.84137,1.22425,0.49998,0.40424,0.42826,0.33948,1.12847,1.40238,1.50997,0.000874842,0.000874842,0.000874842
26,21397.5,0.62763,0.85525,1.23145,0.51179,0.41798,0.4321,0.34516,1.13152,1.44623,1.53687,0.000841835,0.000841835,0.000841835
27,22214.4,0.62692,0.85961,1.23382,0.55782,0.39295,0.44027,0.346,1.11384,1.35527,1.51734,0.000808828,0.000808828,0.000808828
28,23031,0.61088,0.83365,1.21829,0.53775,0.43486,0.44167,0.35514,1.1041,1.34195,1.49717,0.000775822,0.000775822,0.000775822
29,23846,0.60996,0.83777,1.22429,0.55243,0.41195,0.44385,0.35386,1.08848,1.3158,1.47595,0.000742815,0.000742815,0.000742815
30,24664.9,0.60163,0.81808,1.21114,0.52336,0.43756,0.45276,0.35774,1.09265,1.34141,1.47013,0.000709809,0.000709809,0.000709809
31,25478.8,0.61125,0.81368,1.21459,0.50839,0.44509,0.45882,0.36548,1.08307,1.31738,1.47379,0.000676802,0.000676802,0.000676802
32,26295.3,0.59899,0.80212,1.21025,0.49967,0.43598,0.46089,0.36364,1.07961,1.29393,1.47607,0.000643795,0.000643795,0.000643795
33,27111.3,0.60501,0.79692,1.2015,0.52463,0.44833,0.46248,0.37088,1.05795,1.27096,1.45735,0.000610789,0.000610789,0.000610789
34,27935,0.59771,0.79617,1.20508,0.56289,0.42253,0.46392,0.3702,1.05452,1.26202,1.45246,0.000577782,0.000577782,0.000577782
35,28754.1,0.57422,0.77033,1.18926,0.50935,0.46729,0.47115,0.37596,1.03528,1.226,1.4352,0.000544776,0.000544776,0.000544776
36,29567.4,0.56455,0.74801,1.18127,0.482,0.4661,0.46546,0.37233,1.0525,1.26684,1.44798,0.000511769,0.000511769,0.000511769
37,30384.7,0.57985,0.75937,1.19164,0.56,0.44638,0.47283,0.3751,1.0524,1.25548,1.44956,0.000478762,0.000478762,0.000478762
38,31199.8,0.57949,0.7553,1.18979,0.57331,0.46146,0.47975,0.37373,1.05808,1.24601,1.43693,0.000445756,0.000445756,0.000445756
39,32018.9,0.55956,0.74425,1.17889,0.54566,0.4798,0.47642,0.37891,1.03491,1.25013,1.42504,0.000412749,0.000412749,0.000412749
40,32833.3,0.56228,0.73603,1.17805,0.53674,0.4852,0.49392,0.38762,1.03043,1.22024,1.41476,0.000379743,0.000379743,0.000379743
41,33651.6,0.66897,0.83324,1.30643,0.57354,0.47411,0.4996,0.39451,1.01384,1.188,1.40583,0.000346736,0.000346736,0.000346736
42,34460.1,0.64284,0.77142,1.27712,0.60905,0.47216,0.50433,0.39814,0.99557,1.18396,1.39258,0.000313729,0.000313729,0.000313729
43,35274,0.63744,0.75578,1.27185,0.56804,0.48005,0.49744,0.39793,0.9951,1.1562,1.38817,0.000280723,0.000280723,0.000280723
44,36088.3,0.62019,0.73613,1.251,0.52273,0.52082,0.51079,0.40781,0.99455,1.13476,1.38969,0.000247716,0.000247716,0.000247716
45,36896.6,0.6114,0.71724,1.24757,0.59312,0.5187,0.51617,0.41337,0.975,1.11687,1.36989,0.00021471,0.00021471,0.00021471
46,37705.8,0.6017,0.69204,1.24195,0.61154,0.50571,0.52288,0.41584,0.96932,1.11596,1.35663,0.000181703,0.000181703,0.000181703
47,38512.8,0.59751,0.68228,1.22685,0.56838,0.5246,0.52501,0.42054,0.95608,1.10598,1.35604,0.000148696,0.000148696,0.000148696
48,39322.9,0.58785,0.66911,1.2296,0.62415,0.51611,0.53828,0.4291,0.95624,1.09375,1.36367,0.00011569,0.00011569,0.00011569
49,40127.7,0.5819,0.65973,1.22549,0.63974,0.51001,0.53899,0.43114,0.95662,1.10302,1.35889,8.26832e-05,8.26832e-05,8.26832e-05
50,40942.4,0.57877,0.65369,1.22221,0.60838,0.53361,0.54107,0.43328,0.94539,1.08456,1.35179,4.96766e-05,4.96766e-05,4.96766e-05
